Year,Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American IndiaNAlaska Native,Multiple Races,Total
2015,Maryland,207500,250500,83100,27600,NA,20100,590400
2015,Massachusetts,366100,89000,201000,55600,NA,29000,742200
2015,Michigan,877400,431600,110100,44100,9200,66800,1539100
2015,Minnesota,305400,100300,58100,43300,12500,15300,534900
2015,Mississippi,218200,375800,23000,4200,2100,9000,632200
2015,Missouri,575900,181600,61200,14000,4900,27100,864700
2015,Montana,108100,NA,5200,NA,24300,7000,146400
2015,Nebraska,133500,28400,46100,7800,6000,9200,231000
2015,Nevada,149300,61300,164000,25400,5700,19100,424800
2015,New Hampshire,85400,3300,7700,3000,NA,2600,102000
2015,New Jersey,302700,196500,346900,54800,NA,26800,928400
2015,New Mexico,96600,8100,251800,3200,57800,7300,424900
2015,New York,1050800,609700,923600,261500,9600,80700,2935900
2015,North Carolina,719700,514000,290700,30600,26700,45400,1627100
2015,North Dakota,61700,NA,NA,NA,13500,4200,85800
2015,Ohio,1020800,435600,105700,34500,4700,80900,1682200
2015,Oklahoma,314800,74600,96700,14200,52200,62700,615200
2015,Oregon,384300,24200,128700,24600,9100,24800,595700
2015,Pennsylvania,868100,352200,257200,63300,NA,54700,1599000
2015,Rhode Island,70500,10200,42100,7100,NA,6800,138600
2015,South Carolina,350600,332200,67700,12200,2300,17500,782500
2015,South Dakota,59500,NA,NA,NA,30200,NA,107300
2015,Tennessee,666500,272800,96600,8900,3200,31100,1079000
2015,Texas,992500,654600,2371200,132500,11500,65800,4228100
2015,Utah,211600,10800,76000,18000,8700,9200,334200
2015,Vermont,50500,NA,NA,NA,NA,NA,57900
2015,Virginia,452000,293900,103900,41400,NA,29800,922600
2015,Washington,504000,56200,190700,67300,18500,49400,886000
2015,West Virginia,287400,16900,5000,2700,NA,7100,319100
2015,Wisconsin,405900,108500,83800,22400,10200,19500,650300
2015,Wyoming,46900,NA,7000,NA,1600,NA,58200
2015,Puerto Rico,10900,NA,1569300,NA,NA,NA,1585400
